NMS: 1235321
CMTS: pl-gdn04a-br03
Interfejsy: C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C3/0/0, C3/0/1, C3/0/2, C3/0/3, C3/0/4, C3/0/5, C3/0/6, C3/0/7, C1/0/0, C1/0/1, C1/0/2, C1/0/3, C1/0/4, C1/0/5, C1/0/6, C1/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7, C7/0/2, C7/0/3, C7/0/4, C7/0/5, C7/0/6, C7/0/7, C8/0/0, C8/0/1, C8/0/2, C8/0/3, C8/0/4, C8/0/5, C8/0/6, C8/0/7, C9/0/0, C9/0/1, C9/0/2, C9/0/3, C9/0/4, C9/0/5, C9/0/6, C9/0/7
Data: 23.04.2026, 16:10:43

MAC               IP               Interfejs        Status  dBmV
ac22.0545.3d8d    10.233.30.84     C1/0/0/UB        1       0.50
44aa.f5cf.8acf    10.155.207.244   C1/0/0/UB        1       1.00
6412.69ea.9f91    10.233.16.86     C1/0/0/UB        1       -0.50
5467.518b.1593    10.233.7.144     C1/0/0/UB        1       -0.50
ac22.050d.3754    10.155.196.234   C1/0/0/UB        1       0.00
1834.afd7.a4a6    10.233.19.150    C1/0/0/UB        1       0.00
1834.afd5.da26    10.233.20.4      C1/0/0/UB        1       0.00
2c1d.b8a6.7546    10.233.3.112     C1/0/0/UB        1       -0.50
5467.51ef.0c1e    10.233.22.190    C1/0/0/UB        1       0.50
342c.c478.afe8    10.233.2.186     C1/0/0/UB        1       -3.00
446a.b790.23c9    10.233.7.113     C1/0/0/UB        1       0.00
342c.c48d.e3a3    10.233.15.120    C1/0/0/UB        1       -1.00
905c.4412.e641    10.155.201.93    C1/0/0/UB        1       -0.50
9839.1030.00fa    10.233.20.160    C1/0/0/UB        1       0.00
ac22.0544.bf5d    10.155.194.153   C1/0/0/UB        1       1.00
2ca1.7d96.cc93    10.178.49.89     C1/0/0/UB        1       1.00
905c.44b9.b229    10.155.198.144   C1/0/0/UB        1       0.50
3843.7df9.4d14    10.233.9.178     C1/0/0/UB        1       -0.50
24e4.cea6.91ae    10.233.30.175    C1/0/0/UB        1       0.00
ac22.0512.cf50    10.155.194.33    C1/0/0/UB        1       -0.50
3843.7df7.503a    10.233.3.186     C1/0/0/UB        1       -0.50
2ca1.7d8b.de1b    10.155.207.88    C1/0/0/U2        0       0.00
7c26.34c9.b6fe    10.233.5.87      C1/0/0/UB        1       0.50
b0c2.87d6.8ba1    10.233.14.173    C1/0/0/UB        1       -0.50
ac22.0544.1901    10.233.5.171     C1/0/0/UB        1       1.00
6412.69eb.35f9    10.233.10.232    C1/0/0/UB        1       0.50
d42c.0fd0.328e    10.233.23.198    C1/0/0/UB        1       0.00
6412.69e9.b089    10.233.23.217    C1/0/0/UB        1       0.00
e882.5ba6.02b5    10.233.25.175    C1/0/0/UB        1       0.00
ac22.0544.6425    10.233.9.207     C1/0/0/UB        1       -0.50
342c.c456.ac4c    10.155.199.218   C1/0/0/UB        1       0.00
2ca1.7d8c.dbd3    10.233.30.16     C1/0/0/UB        1       1.00
ac22.05c0.e0ca    10.233.11.96     C1/0/0/UB        1       0.00
3843.7dd6.a478    10.155.222.7     C1/0/0/UB        1       -1.00
342c.c401.a610    10.233.5.130     C1/0/0/UB        1       0.00
0036.760a.73cf    10.233.25.146    C1/0/0/UB        1       -1.00
acf8.ccaa.3064    10.233.12.75     C1/0/0/UB        1       0.00
905c.448e.adcf    10.233.22.111    C1/0/0/UB        1       0.00
1834.afdc.2cf8    10.233.2.92      C1/0/0/UB        1       0.00
d42c.0fcf.e566    10.233.7.84      C1/0/0/UB        1       0.00
905c.4487.b292    10.155.210.4     C1/0/0/UB        1       -0.50
2ca1.7d04.45ac    10.233.26.165    C1/0/0/UB        1       1.00
2ca1.7d82.15bb    10.233.22.138    C1/0/0/UB        1       -0.50
a0c5.6274.8644    10.233.8.215     C1/0/0/UB        1       -0.50
342c.c4d0.7b07    10.155.209.221   C1/0/0/UB        1       -0.50
6802.b856.4955    10.155.202.74    C1/0/0/UB        1       0.00
6412.69bc.eaa8    10.233.30.117    C1/0/0/UB        1       0.00
ac22.05bc.39df    10.178.49.126    C1/0/0/UB        1       -0.50
